labels,multilabels,ru_names,us_names
C09K8,['C09K8'],4030:9a92dd1959bde7d0:5813341fd9a1,4040:6a1d05c6f8a9e658:14050a6a3f6f
C22F1,"['C22F1', 'other']",4030:9a92dd1959bde7d0:47523170632d,4040:6a1d05c6f8a9e658:143ef989f1e
A61K39,"['other', 'A61K39']",4030:9a92dd1959bde7d0:422c8f08de9,4040:6a1d05c6f8a9e658:1443b43c645a
A23L1,['A23L1'],4030:9a92dd1959bde7d0:f39d863f33fe,4040:6a1d05c6f8a9e658:144c2bae425b
A62B18,['A62B18'],4030:9a92dd1959bde7d0:d3829ca5abf6,4040:6a1d05c6f8a9e658:14552614d034
E21B47,['E21B47'],4030:9a92dd1959bde7d0:b01fe687c368,4040:6a1d05c6f8a9e658:1460f992cd01
G06F17,['G06F17'],4030:9a92dd1959bde7d0:b768be7ae6cc,4040:6a1d05c6f8a9e658:14855b3f11ff
E21B43,"['E21B43', 'other']",4030:9a92dd1959bde7d0:6f46966e9943,4040:6a1d05c6f8a9e658:14bbdfc4ca4d
A63F13,['A63F13'],4030:9a92dd1959bde7d0:52c485054969,4040:6a1d05c6f8a9e658:1504156ab5d7
A61K31,['A61K31'],4030:9a92dd1959bde7d0:cf250fd21f36,4040:6a1d05c6f8a9e658:151a7bcba3e4
B26B21,['B26B21'],4030:9a92dd1959bde7d0:d4c1fa3a79a9,4040:6a1d05c6f8a9e658:151cfa9300bf
H04L9,['H04L9'],4030:9a92dd1959bde7d0:834b29f81887,4040:6a1d05c6f8a9e658:151dceccb76d
A61K8,['A61K8'],4030:9a92dd1959bde7d0:2cf3451b2bfa,4040:6a1d05c6f8a9e658:15515ce11ec5
G06F21,['G06F21'],4030:9a92dd1959bde7d0:fb19668d47d5,4040:6a1d05c6f8a9e658:1581f7ab5e0e
A61K31,['A61K31'],4030:9a92dd1959bde7d0:72de58fa932c,4040:6a1d05c6f8a9e658:1583589b2742
H04B7,['H04B7'],4030:9a92dd1959bde7d0:ff27299b0ce4,4040:6a1d05c6f8a9e658:15af6d1af987
C08L23,['C08L23'],4030:9a92dd1959bde7d0:5aecbbf6a784,4040:6a1d05c6f8a9e658:15d617a4d999
G06F17,['G06F17'],4030:9a92dd1959bde7d0:7e7fca00c0c,4040:6a1d05c6f8a9e658:15dbcdd6880e
H04L29,"['H04L29', 'H04W4']",4030:9a92dd1959bde7d0:228430c1fd37,4040:6a1d05c6f8a9e658:15e260ef8b38
H04L12,['H04L12'],4030:9a92dd1959bde7d0:c548d3e3d7bd,4040:6a1d05c6f8a9e658:15e84541927c
B01D53,"['other', 'other', 'B01D53', 'other']",4030:9a92dd1959bde7d0:a82c7a0f47aa,4040:6a1d05c6f8a9e658:15ebefdc95b0
G06K9,['G06K9'],4030:9a92dd1959bde7d0:44f1def0ee2b,4040:6a1d05c6f8a9e658:15f588d2b4a7
A61B17,['A61B17'],4030:9a92dd1959bde7d0:de502e541eda,4040:6a1d05c6f8a9e658:160a9ca31a67
B01J23,['B01J23'],4030:9a92dd1959bde7d0:362e00e757b9,4040:6a1d05c6f8a9e658:161cdace1da8
C07C2,['C07C2'],4030:9a92dd1959bde7d0:b0af766a3c2f,4040:6a1d05c6f8a9e658:1627055b87cf
A61B17,['A61B17'],4030:9a92dd1959bde7d0:9844c747d788,4040:6a1d05c6f8a9e658:162d5d62477b
A61B17,['A61B17'],4030:9a92dd1959bde7d0:73f338cef7e3,4040:6a1d05c6f8a9e658:163249a7776b
G06Q30,['G06Q30'],4030:9a92dd1959bde7d0:1d9dffe90a56,4040:6a1d05c6f8a9e658:164ec82b4e3e
A61F13,['A61F13'],4030:9a92dd1959bde7d0:4b75aed55156,4040:6a1d05c6f8a9e658:166327e099de
A61B18,"['A61B18', 'A61B5']",4030:9a92dd1959bde7d0:17bf5f0d800a,4040:6a1d05c6f8a9e658:16aa88ec803e
G06F12,['G06F12'],4030:9a92dd1959bde7d0:9cdfb5bc8a50,4040:6a1d05c6f8a9e658:16b9989048fd
G06F3,['G06F3'],4030:9a92dd1959bde7d0:d3c0e051ffc4,4040:6a1d05c6f8a9e658:16c7d9de339
F01D25,['F01D25'],4030:9a92dd1959bde7d0:4322ec5567d1,4040:6a1d05c6f8a9e658:16ccd380ec7d
C02F1,['C02F1'],4030:9a92dd1959bde7d0:a656edef17cb,4040:6a1d05c6f8a9e658:16f7d1f96690
A61B17,['A61B17'],4030:9a92dd1959bde7d0:34480a1f97ca,4040:6a1d05c6f8a9e658:17136e0cb933
A61K38,"['A61K38', 'A61K9']",4030:9a92dd1959bde7d0:3956e0f5ac27,4040:6a1d05c6f8a9e658:171a0f548f48
A61F13,['A61F13'],4030:9a92dd1959bde7d0:b404150d0e66,4040:6a1d05c6f8a9e658:173a477c778d
A61F9,['A61F9'],4030:9a92dd1959bde7d0:741ec26836a2,4040:6a1d05c6f8a9e658:175cc5609430
A61F13,['A61F13'],4030:9a92dd1959bde7d0:6eea209da14d,4040:6a1d05c6f8a9e658:177475556752
B60W10,['B60W10'],4030:9a92dd1959bde7d0:5034602b249,4040:6a1d05c6f8a9e658:1781b60fd33f
G06F17,['G06F17'],4030:9a92dd1959bde7d0:17ce955f73b5,4040:6a1d05c6f8a9e658:17a494f0c537
G06F17,['G06F17'],4030:9a92dd1959bde7d0:4875b0898b8,4040:6a1d05c6f8a9e658:17aa447244fa
G06F17,['G06F17'],4030:9a92dd1959bde7d0:74d00eedc441,4040:6a1d05c6f8a9e658:17ccbd30a798
B01D53,['B01D53'],4030:9a92dd1959bde7d0:c80744d3455f,4040:6a1d05c6f8a9e658:17f2aa11dc9b
A61K31,['A61K31'],4030:9a92dd1959bde7d0:849adf283c9f,4040:6a1d05c6f8a9e658:17f9bd554287
A61F13,['A61F13'],4030:9a92dd1959bde7d0:80bdde23e174,4040:6a1d05c6f8a9e658:1844147862c2
C07D487,['C07D487'],4030:9a92dd1959bde7d0:ce3b73f1eea,4040:6a1d05c6f8a9e658:1866b6d46e80
F01D5,['F01D5'],4030:9a92dd1959bde7d0:5cd2fa02d27d,4040:6a1d05c6f8a9e658:187cf0d0815c
B01J23,['B01J23'],4030:9a92dd1959bde7d0:a0b31b720189,4040:6a1d05c6f8a9e658:18a776d788e7
F16J15,['F16J15'],4030:9a92dd1959bde7d0:eecc31351537,4040:6a1d05c6f8a9e658:190e53c5019b
C07C2,['C07C2'],4030:9a92dd1959bde7d0:f048cdcdb781,4040:6a1d05c6f8a9e658:19130c8c715
C08L23,['C08L23'],4030:9a92dd1959bde7d0:78d27b4bdf3a,4040:6a1d05c6f8a9e658:1915b01b288e
F16K31,['F16K31'],4030:9a92dd1959bde7d0:528d610769be,4040:6a1d05c6f8a9e658:19226f9e8681
A61B17,['A61B17'],4030:9a92dd1959bde7d0:7790255031d,4040:6a1d05c6f8a9e658:192db5b5d0e3
A62B18,"['other', 'A62B18']",4030:9a92dd1959bde7d0:8c62f5e54f74,4040:6a1d05c6f8a9e658:193a6c7cd9b0
H04B1,['H04B1'],4030:9a92dd1959bde7d0:5874d1b766b1,4040:6a1d05c6f8a9e658:19419242407
A23L1,['A23L1'],4030:9a92dd1959bde7d0:13955581321c,4040:6a1d05c6f8a9e658:199597570653
E21B47,['E21B47'],4030:9a92dd1959bde7d0:43a9020ce782,4040:6a1d05c6f8a9e658:19c5554e5250
B22D11,['B22D11'],4030:9a92dd1959bde7d0:f02b1f8b1e85,4040:6a1d05c6f8a9e658:19ddcea03676
G06F17,['G06F17'],4030:9a92dd1959bde7d0:6b613c358d8,4040:6a1d05c6f8a9e658:19ea2443bcf0
A61B17,['A61B17'],4030:9a92dd1959bde7d0:4fa9815babb9,4040:6a1d05c6f8a9e658:1a2622aaf812
F02C7,['F02C7'],4030:9a92dd1959bde7d0:9e292ada836b,4040:6a1d05c6f8a9e658:1a36db755833
H04L9,['H04L9'],4030:9a92dd1959bde7d0:9cc529b47f19,4040:6a1d05c6f8a9e658:1a9247b507e7
A61M5,['A61M5'],4030:9a92dd1959bde7d0:b7ec38e43e8a,4040:6a1d05c6f8a9e658:1ab238f320ca
E21B33,['E21B33'],4030:9a92dd1959bde7d0:c4be4ecd72fd,4040:6a1d05c6f8a9e658:1add76d4b174
G06F1,['G06F1'],4030:9a92dd1959bde7d0:7755b9927b4c,4040:6a1d05c6f8a9e658:1ae0c62bbb3f
F01D5,['F01D5'],4030:9a92dd1959bde7d0:4312ea901427,4040:6a1d05c6f8a9e658:1b1a5427fcee
A61F9,['A61F9'],4030:9a92dd1959bde7d0:ac2c557dea67,4040:6a1d05c6f8a9e658:1b1c9b1148a7
E21B43,['E21B43'],4030:9a92dd1959bde7d0:b633e42ced0e,4040:6a1d05c6f8a9e658:1b45741ccd3b
C10L1,"['C10L1', 'other']",4030:9a92dd1959bde7d0:b0855e412707,4040:6a1d05c6f8a9e658:1b519bf6a814
G06F9,['G06F9'],4030:9a92dd1959bde7d0:27b2a5015b89,4040:6a1d05c6f8a9e658:1b7627a265bf
C22F1,['C22F1'],4030:9a92dd1959bde7d0:2f1abcbf1d3,4040:6a1d05c6f8a9e658:1b91f13fca5f
A61F13,['A61F13'],4030:9a92dd1959bde7d0:9043da8ba514,4040:6a1d05c6f8a9e658:1bba0c5e2f23
F01D5,['F01D5'],4030:9a92dd1959bde7d0:ccfc43576a73,4040:6a1d05c6f8a9e658:1bbf98ae85c
A61B3,['A61B3'],4030:9a92dd1959bde7d0:38aed843b418,4040:6a1d05c6f8a9e658:1bf9ae888851
A61F2,['A61F2'],4030:9a92dd1959bde7d0:91777dfadbea,4040:6a1d05c6f8a9e658:1c4319e3f7ff
F23R3,['F23R3'],4030:9a92dd1959bde7d0:9719e5402214,4040:6a1d05c6f8a9e658:1c5a142a6b93
H04N7,['H04N7'],4030:9a92dd1959bde7d0:49324b464aab,4040:6a1d05c6f8a9e658:1c5a3245dff
C08G63,['C08G63'],4030:9a92dd1959bde7d0:dbd42ead17b0,4040:6a1d05c6f8a9e658:1c994e7a37a2
E21B43,['E21B43'],4030:9a92dd1959bde7d0:bcdf0cc446b5,4040:6a1d05c6f8a9e658:1ca524ecf2ed
A23L1,['A23L1'],4030:9a92dd1959bde7d0:4c900d2ac2f1,4040:6a1d05c6f8a9e658:1cbf83ba8d7a
H04L12,['H04L12'],4030:9a92dd1959bde7d0:f5c4ad4b8eeb,4040:6a1d05c6f8a9e658:1cc191ee78ae
A23L1,['A23L1'],4030:9a92dd1959bde7d0:c04587ba58a1,4040:6a1d05c6f8a9e658:1ce42445866e
C07D301,['C07D301'],4030:9a92dd1959bde7d0:c51f8fbdefbb,4040:6a1d05c6f8a9e658:1cf57811a9f3
F01D25,['F01D25'],4030:9a92dd1959bde7d0:9a6b55b6b2b3,4040:6a1d05c6f8a9e658:1d262d79d389
G01V3,"['G01V3', 'other']",4030:9a92dd1959bde7d0:21c347e97833,4040:6a1d05c6f8a9e658:1d2f45ab84b0
F01D5,['F01D5'],4030:9a92dd1959bde7d0:393011b08bb8,4040:6a1d05c6f8a9e658:1d3ecbf58be
G01V3,['G01V3'],4030:9a92dd1959bde7d0:4410f712120,4040:6a1d05c6f8a9e658:1d99ca4d9d46
F23R3,['F23R3'],4030:9a92dd1959bde7d0:72b86a9b5876,4040:6a1d05c6f8a9e658:1d9b5f22f66d
A61K9,['A61K9'],4030:9a92dd1959bde7d0:a6c2ffecf62,4040:6a1d05c6f8a9e658:1da6742b3ec
A61F13,['A61F13'],4030:9a92dd1959bde7d0:b02c665cc7e0,4040:6a1d05c6f8a9e658:1dca00efca36
A61B17,['A61B17'],4030:9a92dd1959bde7d0:a67a04e8188,4040:6a1d05c6f8a9e658:1dd39a457d3e
A61K38,"['A61K38', 'other', 'A61F13', 'other']",4030:9a92dd1959bde7d0:f63d4829903f,4040:6a1d05c6f8a9e658:1dd39ea856ec
A23L1,['A23L1'],4030:9a92dd1959bde7d0:54d5b5b01d8d,4040:6a1d05c6f8a9e658:1df311ac836
F01D5,['F01D5'],4030:9a92dd1959bde7d0:6eb8bba6509a,4040:6a1d05c6f8a9e658:1e0ecb5ef478
G06F12,['G06F12'],4030:9a92dd1959bde7d0:f91f5a532c54,4040:6a1d05c6f8a9e658:1e318f5f382
A61B18,"['A61B18', 'A61B5']",4030:9a92dd1959bde7d0:18354feb3a1e,4040:6a1d05c6f8a9e658:1e3d477e4a39
H01L33,['H01L33'],4030:9a92dd1959bde7d0:f903c6e2662a,4040:6a1d05c6f8a9e658:1e3f4c80ce4d
A61F13,['A61F13'],4030:9a92dd1959bde7d0:92fd74a5354c,4040:6a1d05c6f8a9e658:1e64e63af95e
E21B49,['E21B49'],4030:9a92dd1959bde7d0:d5cd9cd52fbf,4040:6a1d05c6f8a9e658:1e7568b610e6
G06F13,['G06F13'],4030:9a92dd1959bde7d0:99beb854ea3,4040:6a1d05c6f8a9e658:1e81e9f1f0c1
G02C7,['G02C7'],4030:9a92dd1959bde7d0:1592a363fdf4,4040:6a1d05c6f8a9e658:1ed0b2ae0ac0
G06F17,['G06F17'],4030:9a92dd1959bde7d0:c98a1b35309c,4040:6a1d05c6f8a9e658:1ee6db67971
B26B21,['B26B21'],4030:9a92dd1959bde7d0:1d9dcb12243b,4040:6a1d05c6f8a9e658:1efa79c8ff75
F01D5,"['F01D5', 'other']",4030:9a92dd1959bde7d0:6c85b743937e,4040:6a1d05c6f8a9e658:1efecddebeb3
C08F2,['C08F2'],4030:9a92dd1959bde7d0:711fd094aefe,4040:6a1d05c6f8a9e658:1f99806a50d7
A61K31,['A61K31'],4030:9a92dd1959bde7d0:5ee87add6202,4040:6a1d05c6f8a9e658:1f9986ae18c4
A23L1,['A23L1'],4030:9a92dd1959bde7d0:1b5b10eed4f4,4040:6a1d05c6f8a9e658:1fbf1b53403
G06F3,['G06F3'],4030:9a92dd1959bde7d0:6843451fab3a,4040:6a1d05c6f8a9e658:1fc406c5574a
G06F17,['G06F17'],4030:9a92dd1959bde7d0:8243914806aa,4040:6a1d05c6f8a9e658:1fdc40f03224
G06F12,['G06F12'],4030:9a92dd1959bde7d0:dfe6e0cd5d21,4040:6a1d05c6f8a9e658:1fdfee9a7717
A61F13,['A61F13'],4030:9a92dd1959bde7d0:e868ccfc2d72,4040:6a1d05c6f8a9e658:1ff9bfedbbca
G01N21,['G01N21'],4030:9a92dd1959bde7d0:c3bfdb8f7d18,4040:6a1d05c6f8a9e658:200c75117a88
H04B7,['H04B7'],4030:9a92dd1959bde7d0:27c922eea6f5,4040:6a1d05c6f8a9e658:201386316e3a
G06F15,"['G06F15', 'G06F3']",4030:9a92dd1959bde7d0:cb46fdb1d138,4040:6a1d05c6f8a9e658:203bef51d652
A61K9,"['A61K31', 'A61K9']",4030:9a92dd1959bde7d0:2883f50e27ed,4040:6a1d05c6f8a9e658:2062e8f137fd
A61F13,['A61F13'],4030:9a92dd1959bde7d0:35d8b46b5992,4040:6a1d05c6f8a9e658:207c8b6c77d3
E21B49,"['E21B49', 'E21B47']",4030:9a92dd1959bde7d0:60b7205abc77,4040:6a1d05c6f8a9e658:209af739c757
H04L12,['H04L12'],4030:9a92dd1959bde7d0:a96063bb2bd4,4040:6a1d05c6f8a9e658:20b423b21e36
G06F17,['G06F17'],4030:9a92dd1959bde7d0:6c1690214ce1,4040:6a1d05c6f8a9e658:20cfa357871
E21B33,['E21B33'],4030:9a92dd1959bde7d0:5e98855c3a18,4040:6a1d05c6f8a9e658:20d1d4d6b720
E21B49,['E21B49'],4030:9a92dd1959bde7d0:2c10b3932616,4040:6a1d05c6f8a9e658:210f1aeb377c
A61B5,['A61B5'],4030:9a92dd1959bde7d0:792519b9e4a2,4040:6a1d05c6f8a9e658:21201892d46
F01N3,"['F02M25', 'other', 'F01N3', 'F02D41', 'other']",4030:9a92dd1959bde7d0:3b118a504cca,4040:6a1d05c6f8a9e658:2121ba5f8b36
F01D25,['F01D25'],4030:9a92dd1959bde7d0:d51b991b709,4040:6a1d05c6f8a9e658:21319358b0cc
H04L12,['H04L12'],4030:9a92dd1959bde7d0:65529effb05a,4040:6a1d05c6f8a9e658:21ade2b39538
A61B17,['A61B17'],4030:9a92dd1959bde7d0:c4db8f8b1ef6,4040:6a1d05c6f8a9e658:21bd2e79c8fb
A61F13,['A61F13'],4030:9a92dd1959bde7d0:f9011807ffe0,4040:6a1d05c6f8a9e658:21c95592b40e
F02D41,['F02D41'],4030:9a92dd1959bde7d0:89863dcc3706,4040:6a1d05c6f8a9e658:21dbe207cf9e
A61B17,['A61B17'],4030:9a92dd1959bde7d0:115b54ce543e,4040:6a1d05c6f8a9e658:22164e0a68ec
C07C5,['C07C5'],4030:9a92dd1959bde7d0:669bb3b804b2,4040:6a1d05c6f8a9e658:222e0e1fcc70
A61F13,['A61F13'],4030:9a92dd1959bde7d0:e39e5250f95b,4040:6a1d05c6f8a9e658:22335d4963b0
G06F15,['G06F15'],4030:9a92dd1959bde7d0:ab76f05acfc4,4040:6a1d05c6f8a9e658:223f131dc19e
G06F9,['G06F9'],4030:9a92dd1959bde7d0:8898a12ba4d6,4040:6a1d05c6f8a9e658:224a2c2287f9
G01V1,['G01V1'],4030:9a92dd1959bde7d0:b8708c2b1712,4040:6a1d05c6f8a9e658:225eccab0239
B01J23,['B01J23'],4030:9a92dd1959bde7d0:b8ab8fc42335,4040:6a1d05c6f8a9e658:2263aa4b6818
A61B17,['A61B17'],4030:9a92dd1959bde7d0:13ef7207bfef,4040:6a1d05c6f8a9e658:2263e949e0ff
C08G63,['C08G63'],4030:9a92dd1959bde7d0:47826db1f7cf,4040:6a1d05c6f8a9e658:226c7f0487f1
G06F1,['G06F1'],4030:9a92dd1959bde7d0:e98023873e3e,4040:6a1d05c6f8a9e658:22769b78b652
G06F3,['G06F3'],4030:9a92dd1959bde7d0:265fc1172f01,4040:6a1d05c6f8a9e658:227d8c6cba60
H04B7,['H04B7'],4030:9a92dd1959bde7d0:53678dd6672c,4040:6a1d05c6f8a9e658:228c5db4176c
A61F13,"['other', 'A61F13']",4030:9a92dd1959bde7d0:f85d97a2b043,4040:6a1d05c6f8a9e658:22ed1a063888
C09K8,"['E21B43', 'C09K8']",4030:9a92dd1959bde7d0:108b5d6cc617,4040:6a1d05c6f8a9e658:22fa5f064628
G01F1,['G01F1'],4030:9a92dd1959bde7d0:ed7a27abc1c8,4040:6a1d05c6f8a9e658:232e663271bf
A23L1,['A23L1'],4030:9a92dd1959bde7d0:964df9bcffba,4040:6a1d05c6f8a9e658:235c02607434
A61F13,['A61F13'],4030:9a92dd1959bde7d0:b1f6fd8cf6e2,4040:6a1d05c6f8a9e658:237b8de63089
G06F9,['G06F9'],4030:9a92dd1959bde7d0:a1559de6f32a,4040:6a1d05c6f8a9e658:237e4e8a3c3b
A61B17,['A61B17'],4030:9a92dd1959bde7d0:33b80660a58d,4040:6a1d05c6f8a9e658:23834d9b273d
B01D53,['B01D53'],4030:9a92dd1959bde7d0:6f2872701583,4040:6a1d05c6f8a9e658:23846603e4b3
G06F17,['G06F17'],4030:9a92dd1959bde7d0:80d03d4df01,4040:6a1d05c6f8a9e658:23944d0bbc53
A23L1,['A23L1'],4030:9a92dd1959bde7d0:41d10ef3650,4040:6a1d05c6f8a9e658:23a425f5d2df
C08F2,['C08F2'],4030:9a92dd1959bde7d0:ebeec979e572,4040:6a1d05c6f8a9e658:23a9f62d2f11
G02C7,['G02C7'],4030:9a92dd1959bde7d0:c50bc8a6a95a,4040:6a1d05c6f8a9e658:23c8636b3e7c
A61K8,"['A61K8', 'other']",4030:9a92dd1959bde7d0:4f0251dd7745,4040:6a1d05c6f8a9e658:23d315db24de
A61F13,['A61F13'],4030:9a92dd1959bde7d0:1456e6712782,4040:6a1d05c6f8a9e658:23d879b3d955
G06F15,['G06F15'],4030:9a92dd1959bde7d0:c650f3a28caf,4040:6a1d05c6f8a9e658:23e560e285eb
G06Q30,['G06Q30'],4030:9a92dd1959bde7d0:6c61ff78291f,4040:6a1d05c6f8a9e658:23fa9a341296
A61K9,"['A61K31', 'other', 'A61K9', 'other']",4030:9a92dd1959bde7d0:5069d28fa11d,4040:6a1d05c6f8a9e658:23febffcf10a
H04L9,['H04L9'],4030:9a92dd1959bde7d0:a9405b18d866,4040:6a1d05c6f8a9e658:242ba12a0698
C08G18,['C08G18'],4030:9a92dd1959bde7d0:675a5126d04f,4040:6a1d05c6f8a9e658:242d61719be4
G01N33,['G01N33'],4030:9a92dd1959bde7d0:5ffb5bb0b5f3,4040:6a1d05c6f8a9e658:242ecd06967c
E21B43,['E21B43'],4030:9a92dd1959bde7d0:db794542e802,4040:6a1d05c6f8a9e658:24341594f717
A61B17,['A61B17'],4030:9a92dd1959bde7d0:81a9139328e6,4040:6a1d05c6f8a9e658:249c1c5b8e8a
F01N3,"['B01D53', 'F01N3']",4030:9a92dd1959bde7d0:8e13633681f1,4040:6a1d05c6f8a9e658:24a4608d39a9
C07D301,"['B01J23', 'C07D301', 'other']",4030:9a92dd1959bde7d0:d346903a14e8,4040:6a1d05c6f8a9e658:24cc38ce539
A61F13,['A61F13'],4030:9a92dd1959bde7d0:653778fb2158,4040:6a1d05c6f8a9e658:24eca1248117
A61K31,"['A61K31', 'other']",4030:9a92dd1959bde7d0:6df49a8b2175,4040:6a1d05c6f8a9e658:250c7f418a
